episode,reward,best_so_far
106,-3576.0,1435.0
107,-3228.0,1435.0
108,-616.0,1435.0
109,-2810.0,1435.0
110,-679.0,1435.0
111,-1405.0,1435.0
112,-1110.0,1435.0
113,-2021.0,1435.0
114,-3072.0,1435.0
115,-2956.0,1435.0
116,-3142.0,1435.0
117,-2716.0,1435.0
118,-1589.0,1435.0
119,-3160.0,1435.0
120,78.0,1435.0
121,-2154.0,1435.0
122,-11289.0,1435.0
123,-6338.0,1435.0
124,-1259.0,1435.0
125,-2962.0,1435.0
126,-1633.0,1435.0
127,-4018.0,1435.0
128,-2782.0,1435.0
129,-10789.0,1435.0
130,-862.0,1435.0
131,-1420.0,1435.0
132,-1356.0,1435.0
133,-2671.0,1435.0
134,-1964.0,1435.0
135,-810.0,1435.0
136,-2051.0,1435.0
137,-5698.0,1435.0
138,-13135.0,1435.0
139,-1670.0,1435.0
140,-1763.0,1435.0
141,-13647.0,1435.0
142,-9712.0,1435.0
143,-1806.0,1435.0
144,105.0,1435.0
145,-11230.0,1435.0
146,-808.0,1435.0
147,-13608.0,1435.0
148,-706.0,1435.0
149,-740.0,1435.0
150,217.0,1435.0
151,-1385.0,1435.0
152,-1690.0,1435.0
153,-2040.0,1435.0
154,-1240.0,1435.0
155,-1130.0,1435.0
156,-7031.0,1435.0
157,-1634.0,1435.0
158,-2948.0,1435.0
159,-3308.0,1435.0
160,-2952.0,1435.0
161,-3250.0,1435.0
162,-5444.0,1435.0
163,-1423.0,1435.0
164,-2011.0,1435.0
165,-8449.0,1435.0
166,-8554.0,1435.0
167,-3016.0,1435.0
168,-1811.0,1435.0
169,-2519.0,1435.0
170,-2563.0,1435.0
171,-4888.0,1435.0
172,-2432.0,1435.0
173,-14801.0,1435.0
174,-2918.0,1435.0
175,-2036.0,1435.0
176,-1640.0,1435.0
177,-1824.0,1435.0
178,-1690.0,1435.0
179,-5788.0,1435.0
180,-749.0,1435.0
181,-1860.0,1435.0
182,1268.0,1435.0
183,-6365.0,1435.0
184,-3766.0,1435.0
185,-1670.0,1435.0
186,-1737.0,1435.0
187,-8678.0,1435.0
188,-1940.0,1435.0
189,-1886.0,1435.0
190,-3134.0,1435.0
191,-1893.0,1435.0
192,-9923.0,1435.0
193,-1860.0,1435.0
194,-1756.0,1435.0
195,-2438.0,1435.0
196,-1940.0,1435.0
197,-1951.0,1435.0
198,-16083.0,1435.0
199,-3370.0,1435.0
200,-2650.0,1435.0
201,-1517.0,1435.0
202,-967.0,1435.0
203,-5714.0,1435.0
204,-3034.0,1435.0
205,-4587.0,1435.0
206,-1571.0,1435.0
207,-3446.0,1435.0
208,-1762.0,1435.0
209,-2625.0,1435.0
210,-2828.0,1435.0
211,-1763.0,1435.0
212,-1805.0,1435.0
213,1650.0,1650.0
214,-2929.0,1650.0
215,-11559.0,1650.0
216,-3177.0,1650.0
217,-2632.0,1650.0
218,-3665.0,1650.0
219,-4221.0,1650.0
220,-6045.0,1650.0
221,-1089.0,1650.0
222,-2888.0,1650.0
223,-16487.0,1650.0
224,-1556.0,1650.0
225,-3132.0,1650.0
226,-1877.0,1650.0
227,-1174.0,1650.0
228,-3268.0,1650.0
229,-1059.0,1650.0
230,-6316.0,1650.0
231,938.0,1650.0
232,-9268.0,1650.0
233,-2506.0,1650.0
234,-2317.0,1650.0
235,-13159.0,1650.0
236,-2073.0,1650.0
237,-2011.0,1650.0
238,-2876.0,1650.0
239,839.0,1650.0
240,-3217.0,1650.0
241,-1341.0,1650.0
242,-8667.0,1650.0
243,-1369.0,1650.0
244,-1385.0,1650.0
245,-1657.0,1650.0
246,-1621.0,1650.0
247,-2027.0,1650.0
248,-1738.0,1650.0
